row_idx,col_idx,log2ratio
0QYW-GB,sp_ig,0
ABX-CA,sp_ig,0
AC-CA,sp_ig,0
ACB-CA,sp_ig,1
ACO.X-CA,sp_ig,1
AD-CA,sp_ig,1
AEM-CA,sp_ig,1
AFN-CA,sp_ig,1
AGI-CA,sp_ig,1
AIF-CA,sp_ig,1
ALA-CA,sp_ig,1
AP.UT-CA,sp_ig,1
APHA-CA,sp_ig,1
AQN-CA,sp_ig,1
ARE-CA,sp_ig,0
ARX-CA,sp_ig,0
ASR-CA,sp_ig,1
ATA-CA,sp_ig,1
ATD.B-CA,sp_ig,1
ATZ-CA,sp_ig,0
AX.UT-CA,sp_ig,0
BAD-CA,sp_ig,1
BAM.A-CA,sp_ig,1
BB-CA,sp_ig,1
BBD.B-CA,sp_ig,1
BBU.UT-CA,sp_ig,1
BCB-CA,sp_ig,1
BCE-CA,sp_ig,0
BEI.UT-CA,sp_ig,0
BEP.UT-CA,sp_ig,1
BIP.UT-CA,sp_ig,0
BIR-CA,sp_ig,1
BLX-CA,sp_ig,0
BMO-CA,sp_ig,0
BNS-CA,sp_ig,1
BPY.UT-CA,sp_ig,1
BTE-CA,sp_ig,0
BTO-CA,sp_ig,0
BYD.UT-CA,sp_ig,1
CAE-CA,sp_ig,1
CAR.UT-CA,sp_ig,1
CAS-CA,sp_ig,0
CCA-CA,sp_ig,0
CCL.B-CA,sp_ig,0
CCO-CA,sp_ig,0
CFP-CA,sp_ig,1
CG-CA,sp_ig,1
CGX-CA,sp_ig,1
CHE.UT-CA,sp_ig,0
CHP.UT-CA,sp_ig,0
CHR-CA,sp_ig,0
CIGI-CA,sp_ig,1
CIX-CA,sp_ig,1
CJT-CA,sp_ig,1
CLS-CA,sp_ig,1
CM-CA,sp_ig,1
CNQ-CA,sp_ig,1
CNR-CA,sp_ig,1
CP-CA,sp_ig,1
CPG-CA,sp_ig,0
CPX-CA,sp_ig,1
CRON-CA,sp_ig,1
CRR.UT-CA,sp_ig,1
CSH.UT-CA,sp_ig,1
CSU-CA,sp_ig,0
CTC.A-CA,sp_ig,1
CU-CA,sp_ig,1
CUF.UT-CA,sp_ig,1
CVE-CA,sp_ig,1
CWB-CA,sp_ig,1
D.UT-CA,sp_ig,0
DGC-CA,sp_ig,1
