stock,filter
0QYW-GB,sp_ig
ABX-CA,moodys_ig
AC-CA,fitch_ig
ACB-CA,Dividend_Size_L1 not empty
ACO.X-CA,Dividend_Size_L2 not empty
AD-CA,Dividend_Size >0.04
AEM-CA,Dividend Growth L0
AFN-CA,Dividend Difference L1
AGI-CA,topN
AIF-CA,
ALA-CA,
AP.UT-CA,
APHA-CA,
AQN-CA,
ARE-CA,
ARX-CA,
ASR-CA,
ATA-CA,
ATD.B-CA,
ATZ-CA,
AX.UT-CA,
BAD-CA,
BAM.A-CA,
BB-CA,
BBD.B-CA,
BBU.UT-CA,
BCB-CA,
BCE-CA,
BEI.UT-CA,
BEP.UT-CA,
BIP.UT-CA,
BIR-CA,
BLX-CA,
BMO-CA,
BNS-CA,
BPY.UT-CA,
BTE-CA,
BTO-CA,
BYD.UT-CA,
CAE-CA,
CAR.UT-CA,
CAS-CA,
CCA-CA,
CCL.B-CA,
CCO-CA,
CFP-CA,
CG-CA,
CGX-CA,
CHE.UT-CA,
CHP.UT-CA,
CHR-CA,
CIGI-CA,
CIX-CA,
CJT-CA,
CLS-CA,
CM-CA,
CNQ-CA,
CNR-CA,
CP-CA,
CPG-CA,
CPX-CA,
CRON-CA,
CRR.UT-CA,
CSH.UT-CA,
CSU-CA,
CTC.A-CA,
CU-CA,
CUF.UT-CA,
CVE-CA,
CWB-CA,
D.UT-CA,
DGC-CA,
DIR.UT-CA,
DOL-CA,
DOO-CA,
DRG.UT-CA,
DSG-CA,
ECA-CA,
ECN-CA,
EDV-CA,
EFN-CA,
EFX-CA,
EIF-CA,
ELD-CA,
EMA-CA,
EMP.A-CA,
ENB-CA,
ENGH-CA,
ERF-CA,
ERO-CA,
ESI-CA,
EXE-CA,
FCR-CA,
FEC-CA,
FFH-CA,
FM-CA,
FNV-CA,
FR-CA,
FRU-CA,
FSV-CA,
FTS-CA,
FTT-CA,
GC-CA,
GEI-CA,
GIB.A-CA,
GIL-CA,
GOOS-CA,
GRT.UT-CA,
GTE-CA,
GUD-CA,
GWO-CA,
H-CA,
HBC-CA,
HBM-CA,
HCG-CA,
HEXO-CA,
HR.UT-CA,
HSE-CA,
IAG-CA,
IFC-CA,
IFP-CA,
IGM-CA,
IIP.UT-CA,
IMG-CA,
IMO-CA,
INE-CA,
IPL-CA,
ITP-CA,
IVN-CA,
K-CA,
KEL-CA,
KEY-CA,
KL-CA,
KMP.UT-CA,
KXS-CA,
L-CA,
LB-CA,
LIF-CA,
LNR-CA,
LUN-CA,
MAG-CA,
MEG-CA,
MFC-CA,
MFI-CA,
MG-CA,
MIC-CA,
MRE-CA,
MRU-CA,
MSI-CA,
MTL-CA,
MTY-CA,
MX-CA,
NA-CA,
NFI-CA,
NG-CA,
NPI-CA,
NTR-CA,
NVA-CA,
NVU.UT-CA,
NWC-CA,
NWH.UT-CA,
NXE-CA,
OGC-CA,
ONEX-CA,
OR-CA,
OSB-CA,
OTEX-CA,
PAAS-CA,
PBH-CA,
PD-CA,
PEY-CA,
PKI-CA,
POW-CA,
PPL-CA,
PSI-CA,
PSK-CA,
PVG-CA,
PWF-CA,
PXT-CA,
QBR.B-CA,
QSR-CA,
RBA-CA,
RCH-CA,
RCI.B-CA,
REI.UT-CA,
RNW-CA,
RUS-CA,
RY-CA,
SAP-CA,
SCL-CA,
SES-CA,
SHOP-CA,
SIA-CA,
SJ-CA,
SJR.B-CA,
SLF-CA,
SMF-CA,
SMU.UT-CA,
SNC-CA,
SPB-CA,
SRU.UT-CA,
SSL-CA,
SSRM-CA,
STN-CA,
SU-CA,
SW-CA,
T-CA,
TA-CA,
TCL.A-CA,
TCN-CA,
TD-CA,
TECK.B-CA,
TFII-CA,
TIH-CA,
TOG-CA,
TOU-CA,
TOY-CA,
TRI-CA,
TRP-CA,
TRQ-CA,
TRST-CA,
TSGI-CA,
TXG-CA,
VET-CA,
VII-CA,
WCN-CA,
WCP-CA,
WEED-CA,
WEF-CA,
WFT-CA,
WJA-CA,
WN-CA,
WPK-CA,
WPM-CA,
WSP-CA,
WTE-CA,
X-CA,
YRI-CA,
ZZZ-CA,
