stock,filter
A-US,sp_ig
AAL-US,moodys_ig
AAP-US,fitch_ig
AAPL-US,Dividend_Size_L1 not empty
ABBV-US,Dividend_Size_L2 not empty
ABC-US,Dividend_Size >0.04
ABMD-US,Operating_Margin_L0af >0
ABT-US,Operating_Margin_L1af >0
ACN-US,Dividend Difference L1
ADBE-US,Dividend Growth L0
ADI-US,fin_exclude
ADM-US,min_exclude
ADP-US,enr_exclude
ADS-US,filter_topN
ADSK-US,
AEE-US,
AEP-US,
AES-US,
AFL-US,
AGN-US,
AIG-US,
AIV-US,
AIZ-US,
AJG-US,
AKAM-US,
ALB-US,
ALGN-US,
ALK-US,
ALL-US,
ALLE-US,
ALXN-US,
AMAT-US,
AMD-US,
AME-US,
AMG-US,
AMGN-US,
AMP-US,
AMT-US,
AMZN-US,
ANET-US,
ANSS-US,
ANTM-US,
AON-US,
AOS-US,
APA-US,
APC-US,
APD-US,
APH-US,
APTV-US,
ARE-US,
ARNC-US,
ATO-US,
ATVI-US,
AVB-US,
AVGO-US,
AVY-US,
AWK-US,
AXP-US,
AZO-US,
BA-US,
BAC-US,
BAX-US,
BBT-US,
BBY-US,
BDX-US,
BEN-US,
BF.B-US,
BHGE-US,
BIIB-US,
BK-US,
BKNG-US,
BLK-US,
BLL-US,
BMY-US,
BR-US,
BRK.B-US,
BSX-US,
BWA-US,
BXP-US,
C-US,
CAG-US,
CAH-US,
CAT-US,
CB-US,
CBOE-US,
CBRE-US,
CBS-US,
CCI-US,
CCL-US,
CDNS-US,
CE-US,
CELG-US,
CERN-US,
CF-US,
CFG-US,
CHD-US,
CHRW-US,
CHTR-US,
CI-US,
CINF-US,
CL-US,
CLX-US,
CMA-US,
CMCSA-US,
CME-US,
CMG-US,
CMI-US,
CMS-US,
CNC-US,
CNP-US,
COF-US,
COG-US,
COO-US,
COP-US,
COST-US,
COTY-US,
CPB-US,
CPRI-US,
CPRT-US,
CRM-US,
CSCO-US,
CSX-US,
CTAS-US,
CTL-US,
CTSH-US,
CTXS-US,
CVS-US,
CVX-US,
CXO-US,
D-US,
DAL-US,
DD-US,
DE-US,
DFS-US,
DG-US,
DGX-US,
DHI-US,
DHR-US,
DIS-US,
DISCA-US,
DISCK-US,
DISH-US,
DLR-US,
DLTR-US,
DOV-US,
DRE-US,
DRI-US,
DTE-US,
DUK-US,
DVA-US,
DVN-US,
DXC-US,
EA-US,
EBAY-US,
ECL-US,
ED-US,
EFX-US,
EIX-US,
EL-US,
EMN-US,
EMR-US,
EOG-US,
EQIX-US,
EQR-US,
ES-US,
ESS-US,
ETFC-US,
ETN-US,
ETR-US,
EVRG-US,
EW-US,
EXC-US,
EXPD-US,
EXPE-US,
EXR-US,
F-US,
FANG-US,
FAST-US,
FB-US,
FBHS-US,
FCX-US,
FDX-US,
FE-US,
FFIV-US,
FIS-US,
FISV-US,
FITB-US,
FL-US,
FLIR-US,
FLS-US,
FLT-US,
FMC-US,
FRC-US,
FRT-US,
FTI-US,
FTNT-US,
FTV-US,
GD-US,
GE-US,
GILD-US,
GIS-US,
GLW-US,
GM-US,
GOOG-US,
GOOGL-US,
GPC-US,
GPN-US,
GPS-US,
GRMN-US,
GS-US,
GWW-US,
HAL-US,
HAS-US,
HBAN-US,
HBI-US,
HCA-US,
HCP-US,
HD-US,
HES-US,
HFC-US,
HIG-US,
HII-US,
HLT-US,
HOG-US,
HOLX-US,
HON-US,
HP-US,
HPE-US,
HPQ-US,
HRB-US,
HRL-US,
HSIC-US,
HST-US,
HSY-US,
HUM-US,
IBM-US,
ICE-US,
IDXX-US,
IFF-US,
ILMN-US,
INCY-US,
INFO-US,
INTC-US,
INTU-US,
IP-US,
IPG-US,
IPGP-US,
IQV-US,
IR-US,
IRM-US,
ISRG-US,
IT-US,
ITW-US,
IVZ-US,
JBHT-US,
JCI-US,
JEC-US,
JEF-US,
JKHY-US,
JNJ-US,
JNPR-US,
JPM-US,
JWN-US,
K-US,
KEY-US,
KEYS-US,
KHC-US,
KIM-US,
KLAC-US,
KMB-US,
KMI-US,
KMX-US,
KO-US,
KR-US,
KSS-US,
KSU-US,
L-US,
LB-US,
LEG-US,
LEN-US,
LH-US,
LHX-US,
LIN-US,
LKQ-US,
LLY-US,
LMT-US,
LNC-US,
LNT-US,
LOW-US,
LRCX-US,
LUV-US,
LW-US,
LYB-US,
M-US,
MA-US,
MAA-US,
MAC-US,
MAR-US,
MAS-US,
MCD-US,
MCHP-US,
MCK-US,
MCO-US,
MDLZ-US,
MDT-US,
MET-US,
MGM-US,
MHK-US,
MKC-US,
MKTX-US,
MLM-US,
MMC-US,
MMM-US,
MNST-US,
MO-US,
MOS-US,
MPC-US,
MRK-US,
MRO-US,
MS-US,
MSCI-US,
MSFT-US,
MSI-US,
MTB-US,
MTD-US,
MU-US,
MXIM-US,
MYL-US,
NBL-US,
NCLH-US,
NDAQ-US,
NEE-US,
NEM-US,
NFLX-US,
NI-US,
NKE-US,
NKTR-US,
NLSN-US,
NOC-US,
NOV-US,
NRG-US,
NSC-US,
NTAP-US,
NTRS-US,
NUE-US,
NVDA-US,
NWL-US,
NWS-US,
NWSA-US,
O-US,
OKE-US,
OMC-US,
ORCL-US,
ORLY-US,
OXY-US,
PAYX-US,
PBCT-US,
PCAR-US,
PEG-US,
PEP-US,
PFE-US,
PFG-US,
PG-US,
PGR-US,
PH-US,
PHM-US,
PKG-US,
PKI-US,
PLD-US,
PM-US,
PNC-US,
PNR-US,
PNW-US,
PPG-US,
PPL-US,
PRGO-US,
PRU-US,
PSA-US,
PSX-US,
PVH-US,
PWR-US,
PXD-US,
PYPL-US,
QCOM-US,
QRVO-US,
RCL-US,
RE-US,
REG-US,
REGN-US,
RF-US,
RHI-US,
RHT-US,
RJF-US,
RL-US,
RMD-US,
ROK-US,
ROL-US,
ROP-US,
ROST-US,
RSG-US,
RTN-US,
SBAC-US,
SBUX-US,
SCHW-US,
SEE-US,
SHW-US,
SIVB-US,
SJM-US,
SLB-US,
SLG-US,
SNA-US,
SNPS-US,
SO-US,
SPG-US,
SPGI-US,
SRE-US,
STI-US,
STT-US,
STX-US,
STZ-US,
SWK-US,
SWKS-US,
SYF-US,
SYK-US,
SYMC-US,
SYY-US,
T-US,
TAP-US,
TDG-US,
TEL-US,
TFX-US,
TGT-US,
TIF-US,
TJX-US,
TMK-US,
TMO-US,
TPR-US,
TRIP-US,
TROW-US,
TRV-US,
TSCO-US,
TSN-US,
TSS-US,
TTWO-US,
TWTR-US,
TXN-US,
TXT-US,
UA-US,
UAA-US,
UAL-US,
UDR-US,
UHS-US,
ULTA-US,
UNH-US,
UNM-US,
UNP-US,
UPS-US,
URI-US,
USB-US,
UTX-US,
V-US,
VAR-US,
VFC-US,
VIAB-US,
VLO-US,
VMC-US,
VNO-US,
VRSK-US,
VRSN-US,
VRTX-US,
VTR-US,
VZ-US,
WAB-US,
WAT-US,
WBA-US,
WCG-US,
WDC-US,
WEC-US,
WELL-US,
WFC-US,
WHR-US,
WLTW-US,
WM-US,
WMB-US,
WMT-US,
WRK-US,
WU-US,
WY-US,
WYNN-US,
XEC-US,
XEL-US,
XLNX-US,
XOM-US,
XRAY-US,
XRX-US,
XYL-US,
YUM-US,
ZBH-US,
ZION-US,
ZTS-US,
