filter,stock,value
sp_ig,NXE-CA,1
sp_ig,GEI-CA,1
sp_ig,D.UT-CA,1
sp_ig,WSP-CA,1
sp_ig,CHP.UT-CA,1
sp_ig,EDV-CA,1
sp_ig,LUN-CA,1
sp_ig,KEL-CA,1
sp_ig,IFP-CA,1
sp_ig,RNW-CA,1
sp_ig,APHA-CA,1
sp_ig,SW-CA,1
sp_ig,TRST-CA,1
sp_ig,BBU.UT-CA,1
sp_ig,EFN-CA,1
sp_ig,AIF-CA,1
sp_ig,CG-CA,1
sp_ig,CCO-CA,1
sp_ig,CSH.UT-CA,1
sp_ig,LNR-CA,1
sp_ig,HR.UT-CA,1
sp_ig,IGM-CA,1
sp_ig,ATZ-CA,1
sp_ig,SSL-CA,1
sp_ig,CHR-CA,1
sp_ig,CVE-CA,1
sp_ig,AFN-CA,1
sp_ig,PVG-CA,1
sp_ig,BIR-CA,1
sp_ig,CPG-CA,1
sp_ig,SSRM-CA,1
sp_ig,K-CA,1
sp_ig,NTR-CA,1
sp_ig,CFP-CA,1
sp_ig,NG-CA,1
sp_ig,MSI-CA,1
sp_ig,DSG-CA,1
sp_ig,BTO-CA,1
sp_ig,CUF.UT-CA,1
sp_ig,AGI-CA,1
sp_ig,WJA-CA,1
sp_ig,MAG-CA,1
sp_ig,CRR.UT-CA,1
sp_ig,KXS-CA,1
sp_ig,ERF-CA,1
sp_ig,ASR-CA,1
sp_ig,CIX-CA,1
sp_ig,ARX-CA,1
sp_ig,NVU.UT-CA,1
sp_ig,HEXO-CA,1
sp_ig,TECK.B-CA,1
sp_ig,SMF-CA,1
sp_ig,GOOS-CA,1
sp_ig,HSE-CA,1
sp_ig,SHOP-CA,1
sp_ig,KL-CA,1
sp_ig,IVN-CA,1
sp_ig,NWH.UT-CA,1
sp_ig,BEI.UT-CA,1
sp_ig,SJR.B-CA,1
sp_ig,FCR-CA,1
sp_ig,ACB-CA,1
sp_ig,ESI-CA,1
sp_ig,PEY-CA,1
sp_ig,ERO-CA,1
sp_ig,TRQ-CA,1
sp_ig,SMU.UT-CA,1
sp_ig,GC-CA,1
sp_ig,FR-CA,1
sp_ig,DOO-CA,1
sp_ig,BB-CA,1
sp_ig,SCL-CA,1
sp_ig,SRU.UT-CA,1
sp_ig,TXG-CA,1
sp_ig,GIB.A-CA,1
sp_ig,GUD-CA,1
sp_ig,WPK-CA,1
sp_ig,ECN-CA,1
sp_ig,DRG.UT-CA,1
sp_ig,WCP-CA,1
sp_ig,DGC-CA,1
sp_ig,TOU-CA,1
sp_ig,WTE-CA,1
sp_ig,AX.UT-CA,1
sp_ig,PXT-CA,1
sp_ig,WEED-CA,1
sp_ig,DIR.UT-CA,1
sp_ig,EXE-CA,1
sp_ig,ALA-CA,1
sp_ig,TOY-CA,1
sp_ig,CRON-CA,1
sp_ig,TRI-CA,1
sp_ig,CSU-CA,1
sp_ig,SNC-CA,1
sp_ig,TOG-CA,1
sp_ig,CGX-CA,1
sp_ig,FRU-CA,1
sp_ig,AD-CA,1
sp_ig,PSK-CA,1
sp_ig,IPL-CA,1
sp_ig,TCL.A-CA,1
sp_ig,FFH-CA,1
sp_ig,WEF-CA,1
sp_ig,LB-CA,1
sp_ig,MTL-CA,1
sp_ig,REI.UT-CA,1
sp_ig,SES-CA,1
sp_ig,SIA-CA,1
sp_ig,CM-CA,1
sp_ig,EIF-CA,1
sp_ig,FTT-CA,1
sp_ig,KEY-CA,1
sp_ig,NWC-CA,1
sp_ig,NFI-CA,1
sp_ig,WPM-CA,1
sp_ig,BLX-CA,1
sp_ig,INE-CA,1
sp_ig,PWF-CA,1
sp_ig,NPI-CA,1
sp_ig,BEP.UT-CA,1
sp_ig,H-CA,1
sp_ig,GWO-CA,1
sp_ig,CPX-CA,1
sp_ig,BCE-CA,1
sp_ig,OR-CA,1
sp_ig,EMA-CA,1
sp_ig,WN-CA,1
sp_ig,BNS-CA,1
sp_ig,AP.UT-CA,1
sp_ig,ZZZ-CA,1
sp_ig,POW-CA,1
sp_ig,ENB-CA,1
sp_ig,RCI.B-CA,1
sp_ig,PPL-CA,1
sp_ig,STN-CA,1
sp_ig,CWB-CA,1
sp_ig,PBH-CA,1
sp_ig,BMO-CA,1
sp_ig,BPY.UT-CA,1
sp_ig,T-CA,1
sp_ig,CU-CA,1
sp_ig,FNV-CA,1
sp_ig,NA-CA,1
sp_ig,KMP.UT-CA,1
sp_ig,RY-CA,1
sp_ig,FTS-CA,1
sp_ig,TCN-CA,1
sp_ig,ECA-CA,1
sp_ig,L-CA,1
sp_ig,MIC-CA,1
sp_ig,CTC.A-CA,1
sp_ig,SAP-CA,1
sp_ig,TRP-CA,1
sp_ig,CNQ-CA,1
sp_ig,RCH-CA,1
sp_ig,SU-CA,1
sp_ig,AEM-CA,1
sp_ig,ARE-CA,1
sp_ig,EMP.A-CA,1
sp_ig,IFC-CA,1
sp_ig,ONEX-CA,1
sp_ig,ACO.X-CA,1
sp_ig,BIP.UT-CA,1
sp_ig,SLF-CA,1
sp_ig,TD-CA,1
sp_ig,CAR.UT-CA,1
sp_ig,MFI-CA,1
sp_ig,MFC-CA,1
sp_ig,IAG-CA,1
sp_ig,LIF-CA,1
sp_ig,ABX-CA,1
sp_ig,IMO-CA,1
sp_ig,GRT.UT-CA,1
sp_ig,X-CA,1
sp_ig,PAAS-CA,1
sp_ig,CJT-CA,1
sp_ig,EFX-CA,1
sp_ig,AQN-CA,1
sp_ig,MRU-CA,1
sp_ig,PSI-CA,1
sp_ig,IIP.UT-CA,1
sp_ig,CNR-CA,1
sp_ig,BAM.A-CA,1
sp_ig,MG-CA,1
sp_ig,TFII-CA,1
sp_ig,CP-CA,1
sp_ig,SJ-CA,1
sp_ig,OGC-CA,1
sp_ig,TIH-CA,1
sp_ig,ATD.B-CA,1
sp_ig,CAE-CA,1
sp_ig,DOL-CA,1
sp_ig,CCL.B-CA,1
sp_ig,ENGH-CA,1
sp_ig,WCN-CA,1
sp_ig,MTY-CA,1
sp_ig,MRE-CA,1
sp_ig,CIGI-CA,1
sp_ig,GIL-CA,1
sp_ig,WFT-CA,1
sp_ig,BAD-CA,1
sp_ig,QBR.B-CA,1
moodys_ig,NXE-CA,1
moodys_ig,GEI-CA,1
moodys_ig,D.UT-CA,1
moodys_ig,WSP-CA,1
moodys_ig,CHP.UT-CA,1
moodys_ig,EDV-CA,1
moodys_ig,LUN-CA,1
moodys_ig,KEL-CA,1
moodys_ig,IFP-CA,1
moodys_ig,RNW-CA,1
moodys_ig,APHA-CA,1
moodys_ig,SW-CA,1
moodys_ig,TRST-CA,1
moodys_ig,BBU.UT-CA,1
moodys_ig,EFN-CA,1
moodys_ig,AIF-CA,1
moodys_ig,CG-CA,1
moodys_ig,CCO-CA,1
moodys_ig,CSH.UT-CA,1
moodys_ig,LNR-CA,1
moodys_ig,HR.UT-CA,1
moodys_ig,IGM-CA,1
moodys_ig,ATZ-CA,1
moodys_ig,SSL-CA,1
moodys_ig,CHR-CA,1
moodys_ig,CVE-CA,1
moodys_ig,AFN-CA,1
moodys_ig,PVG-CA,1
moodys_ig,BIR-CA,1
moodys_ig,CPG-CA,1
moodys_ig,SSRM-CA,1
moodys_ig,K-CA,1
moodys_ig,NTR-CA,1
moodys_ig,CFP-CA,1
moodys_ig,NG-CA,1
moodys_ig,MSI-CA,1
moodys_ig,DSG-CA,1
moodys_ig,BTO-CA,1
moodys_ig,CUF.UT-CA,1
moodys_ig,AGI-CA,1
moodys_ig,WJA-CA,1
moodys_ig,MAG-CA,1
moodys_ig,CRR.UT-CA,1
moodys_ig,KXS-CA,1
moodys_ig,ERF-CA,1
moodys_ig,ASR-CA,1
moodys_ig,CIX-CA,1
moodys_ig,ARX-CA,1
moodys_ig,NVU.UT-CA,1
moodys_ig,HEXO-CA,1
moodys_ig,TECK.B-CA,1
moodys_ig,SMF-CA,1
moodys_ig,GOOS-CA,1
moodys_ig,HSE-CA,1
moodys_ig,SHOP-CA,1
moodys_ig,KL-CA,1
moodys_ig,IVN-CA,1
moodys_ig,NWH.UT-CA,1
moodys_ig,BEI.UT-CA,1
moodys_ig,SJR.B-CA,1
moodys_ig,FCR-CA,1
moodys_ig,ACB-CA,1
moodys_ig,ESI-CA,1
moodys_ig,PEY-CA,1
moodys_ig,ERO-CA,1
moodys_ig,TRQ-CA,1
moodys_ig,SMU.UT-CA,1
moodys_ig,GC-CA,1
moodys_ig,FR-CA,1
moodys_ig,DOO-CA,1
moodys_ig,BB-CA,1
moodys_ig,SCL-CA,1
moodys_ig,SRU.UT-CA,1
moodys_ig,TXG-CA,1
moodys_ig,GIB.A-CA,1
moodys_ig,GUD-CA,1
moodys_ig,WPK-CA,1
moodys_ig,ECN-CA,1
moodys_ig,DRG.UT-CA,1
moodys_ig,WCP-CA,1
moodys_ig,DGC-CA,1
moodys_ig,TOU-CA,1
moodys_ig,WTE-CA,1
moodys_ig,AX.UT-CA,1
moodys_ig,PXT-CA,1
moodys_ig,WEED-CA,1
moodys_ig,DIR.UT-CA,1
moodys_ig,EXE-CA,1
moodys_ig,ALA-CA,1
moodys_ig,TOY-CA,1
moodys_ig,CRON-CA,1
moodys_ig,TRI-CA,1
moodys_ig,CSU-CA,1
moodys_ig,SNC-CA,1
moodys_ig,TOG-CA,1
moodys_ig,CGX-CA,1
moodys_ig,FRU-CA,1
moodys_ig,AD-CA,1
moodys_ig,PSK-CA,1
moodys_ig,IPL-CA,1
moodys_ig,TCL.A-CA,1
moodys_ig,FFH-CA,1
moodys_ig,WEF-CA,1
moodys_ig,LB-CA,1
moodys_ig,MTL-CA,1
moodys_ig,REI.UT-CA,1
moodys_ig,SES-CA,1
moodys_ig,SIA-CA,1
moodys_ig,CM-CA,1
moodys_ig,EIF-CA,1
moodys_ig,FTT-CA,1
moodys_ig,KEY-CA,1
moodys_ig,NWC-CA,1
moodys_ig,NFI-CA,1
moodys_ig,WPM-CA,1
moodys_ig,BLX-CA,1
moodys_ig,INE-CA,1
moodys_ig,PWF-CA,1
moodys_ig,NPI-CA,1
moodys_ig,BEP.UT-CA,1
moodys_ig,H-CA,1
moodys_ig,GWO-CA,1
moodys_ig,CPX-CA,1
moodys_ig,BCE-CA,1
moodys_ig,OR-CA,1
moodys_ig,EMA-CA,1
moodys_ig,WN-CA,1
moodys_ig,BNS-CA,1
moodys_ig,AP.UT-CA,1
moodys_ig,ZZZ-CA,1
moodys_ig,POW-CA,1
moodys_ig,ENB-CA,1
moodys_ig,RCI.B-CA,1
moodys_ig,PPL-CA,1
moodys_ig,STN-CA,1
moodys_ig,CWB-CA,1
moodys_ig,PBH-CA,1
moodys_ig,BMO-CA,1
moodys_ig,BPY.UT-CA,1
moodys_ig,T-CA,1
moodys_ig,CU-CA,1
moodys_ig,FNV-CA,1
moodys_ig,NA-CA,1
moodys_ig,KMP.UT-CA,1
moodys_ig,RY-CA,1
moodys_ig,FTS-CA,1
moodys_ig,TCN-CA,1
moodys_ig,ECA-CA,1
moodys_ig,L-CA,1
moodys_ig,MIC-CA,1
moodys_ig,CTC.A-CA,1
moodys_ig,SAP-CA,1
moodys_ig,TRP-CA,1
moodys_ig,CNQ-CA,1
moodys_ig,RCH-CA,1
moodys_ig,SU-CA,1
moodys_ig,AEM-CA,1
moodys_ig,ARE-CA,1
moodys_ig,EMP.A-CA,1
moodys_ig,IFC-CA,1
moodys_ig,ONEX-CA,1
moodys_ig,ACO.X-CA,1
moodys_ig,BIP.UT-CA,1
moodys_ig,SLF-CA,1
moodys_ig,TD-CA,1
moodys_ig,CAR.UT-CA,1
moodys_ig,MFI-CA,1
moodys_ig,MFC-CA,1
moodys_ig,IAG-CA,1
moodys_ig,LIF-CA,1
moodys_ig,ABX-CA,1
moodys_ig,IMO-CA,1
moodys_ig,GRT.UT-CA,1
moodys_ig,X-CA,1
moodys_ig,PAAS-CA,1
moodys_ig,CJT-CA,1
moodys_ig,EFX-CA,1
moodys_ig,AQN-CA,1
moodys_ig,MRU-CA,1
moodys_ig,PSI-CA,1
moodys_ig,IIP.UT-CA,1
moodys_ig,CNR-CA,1
moodys_ig,BAM.A-CA,1
moodys_ig,MG-CA,1
moodys_ig,TFII-CA,1
moodys_ig,CP-CA,1
moodys_ig,SJ-CA,1
moodys_ig,OGC-CA,1
moodys_ig,TIH-CA,1
moodys_ig,ATD.B-CA,1
moodys_ig,CAE-CA,1
moodys_ig,DOL-CA,1
moodys_ig,CCL.B-CA,1
moodys_ig,ENGH-CA,1
moodys_ig,WCN-CA,1
moodys_ig,MTY-CA,1
moodys_ig,MRE-CA,1
moodys_ig,CIGI-CA,1
moodys_ig,GIL-CA,1
moodys_ig,WFT-CA,1
moodys_ig,BAD-CA,1
moodys_ig,QBR.B-CA,1
fitch_ig,NXE-CA,1
fitch_ig,GEI-CA,1
fitch_ig,D.UT-CA,1
fitch_ig,WSP-CA,1
fitch_ig,CHP.UT-CA,1
fitch_ig,EDV-CA,1
fitch_ig,LUN-CA,1
fitch_ig,KEL-CA,1
fitch_ig,IFP-CA,1
fitch_ig,RNW-CA,1
fitch_ig,APHA-CA,1
fitch_ig,SW-CA,1
fitch_ig,TRST-CA,1
fitch_ig,BBU.UT-CA,1
fitch_ig,EFN-CA,1
fitch_ig,AIF-CA,1
fitch_ig,CG-CA,1
fitch_ig,CCO-CA,1
fitch_ig,CSH.UT-CA,1
fitch_ig,LNR-CA,1
fitch_ig,HR.UT-CA,1
fitch_ig,IGM-CA,1
fitch_ig,ATZ-CA,1
fitch_ig,SSL-CA,1
fitch_ig,CHR-CA,1
fitch_ig,CVE-CA,1
fitch_ig,AFN-CA,1
fitch_ig,PVG-CA,1
fitch_ig,BIR-CA,1
fitch_ig,CPG-CA,1
fitch_ig,SSRM-CA,1
fitch_ig,K-CA,1
fitch_ig,NTR-CA,1
fitch_ig,CFP-CA,1
fitch_ig,NG-CA,1
fitch_ig,MSI-CA,1
fitch_ig,DSG-CA,1
fitch_ig,BTO-CA,1
fitch_ig,CUF.UT-CA,1
fitch_ig,AGI-CA,1
fitch_ig,WJA-CA,1
fitch_ig,MAG-CA,1
fitch_ig,CRR.UT-CA,1
fitch_ig,KXS-CA,1
fitch_ig,ERF-CA,1
fitch_ig,ASR-CA,1
fitch_ig,CIX-CA,1
fitch_ig,ARX-CA,1
fitch_ig,NVU.UT-CA,1
fitch_ig,HEXO-CA,1
fitch_ig,TECK.B-CA,1
fitch_ig,SMF-CA,1
fitch_ig,GOOS-CA,1
fitch_ig,HSE-CA,1
fitch_ig,SHOP-CA,1
fitch_ig,KL-CA,1
fitch_ig,IVN-CA,1
fitch_ig,NWH.UT-CA,1
fitch_ig,BEI.UT-CA,1
fitch_ig,SJR.B-CA,1
fitch_ig,FCR-CA,1
fitch_ig,ACB-CA,1
fitch_ig,ESI-CA,1
fitch_ig,PEY-CA,1
fitch_ig,ERO-CA,1
fitch_ig,TRQ-CA,1
fitch_ig,SMU.UT-CA,1
fitch_ig,GC-CA,1
fitch_ig,FR-CA,1
fitch_ig,DOO-CA,1
fitch_ig,BB-CA,1
fitch_ig,SCL-CA,1
fitch_ig,SRU.UT-CA,1
fitch_ig,TXG-CA,1
fitch_ig,GIB.A-CA,1
fitch_ig,GUD-CA,1
fitch_ig,WPK-CA,1
fitch_ig,ECN-CA,1
fitch_ig,DRG.UT-CA,1
fitch_ig,WCP-CA,1
fitch_ig,DGC-CA,1
fitch_ig,TOU-CA,1
fitch_ig,WTE-CA,1
fitch_ig,AX.UT-CA,1
fitch_ig,PXT-CA,1
fitch_ig,WEED-CA,1
fitch_ig,DIR.UT-CA,1
fitch_ig,EXE-CA,1
fitch_ig,ALA-CA,1
fitch_ig,TOY-CA,1
fitch_ig,CRON-CA,1
fitch_ig,TRI-CA,1
fitch_ig,CSU-CA,1
fitch_ig,SNC-CA,1
fitch_ig,TOG-CA,1
fitch_ig,CGX-CA,1
fitch_ig,FRU-CA,1
fitch_ig,AD-CA,1
fitch_ig,PSK-CA,1
fitch_ig,IPL-CA,1
fitch_ig,TCL.A-CA,1
fitch_ig,FFH-CA,1
fitch_ig,WEF-CA,1
fitch_ig,LB-CA,1
fitch_ig,MTL-CA,1
fitch_ig,REI.UT-CA,1
fitch_ig,SES-CA,1
fitch_ig,SIA-CA,1
fitch_ig,CM-CA,1
fitch_ig,EIF-CA,1
fitch_ig,FTT-CA,1
fitch_ig,KEY-CA,1
fitch_ig,NWC-CA,1
fitch_ig,NFI-CA,1
fitch_ig,WPM-CA,1
fitch_ig,BLX-CA,1
fitch_ig,INE-CA,1
fitch_ig,PWF-CA,1
fitch_ig,NPI-CA,1
fitch_ig,BEP.UT-CA,1
fitch_ig,H-CA,1
fitch_ig,GWO-CA,1
fitch_ig,CPX-CA,1
fitch_ig,BCE-CA,1
fitch_ig,OR-CA,1
fitch_ig,EMA-CA,1
fitch_ig,WN-CA,1
fitch_ig,BNS-CA,1
fitch_ig,AP.UT-CA,1
fitch_ig,ZZZ-CA,1
fitch_ig,POW-CA,1
fitch_ig,ENB-CA,1
fitch_ig,RCI.B-CA,1
fitch_ig,PPL-CA,1
fitch_ig,STN-CA,1
fitch_ig,CWB-CA,1
fitch_ig,PBH-CA,1
fitch_ig,BMO-CA,1
fitch_ig,BPY.UT-CA,1
fitch_ig,T-CA,1
fitch_ig,CU-CA,1
fitch_ig,FNV-CA,1
fitch_ig,NA-CA,1
fitch_ig,KMP.UT-CA,1
fitch_ig,RY-CA,1
fitch_ig,FTS-CA,1
fitch_ig,TCN-CA,1
fitch_ig,ECA-CA,1
fitch_ig,L-CA,1
fitch_ig,MIC-CA,1
fitch_ig,CTC.A-CA,1
fitch_ig,SAP-CA,1
fitch_ig,TRP-CA,1
fitch_ig,CNQ-CA,1
fitch_ig,RCH-CA,1
fitch_ig,SU-CA,1
fitch_ig,AEM-CA,1
fitch_ig,ARE-CA,1
fitch_ig,EMP.A-CA,1
fitch_ig,IFC-CA,1
fitch_ig,ONEX-CA,1
fitch_ig,ACO.X-CA,1
fitch_ig,BIP.UT-CA,1
fitch_ig,SLF-CA,1
fitch_ig,TD-CA,1
fitch_ig,CAR.UT-CA,1
fitch_ig,MFI-CA,1
fitch_ig,MFC-CA,1
fitch_ig,IAG-CA,1
fitch_ig,LIF-CA,1
fitch_ig,ABX-CA,1
fitch_ig,IMO-CA,1
fitch_ig,GRT.UT-CA,1
fitch_ig,X-CA,1
fitch_ig,PAAS-CA,1
fitch_ig,CJT-CA,1
fitch_ig,EFX-CA,1
fitch_ig,AQN-CA,1
fitch_ig,MRU-CA,1
fitch_ig,PSI-CA,1
fitch_ig,IIP.UT-CA,1
fitch_ig,CNR-CA,1
fitch_ig,BAM.A-CA,1
fitch_ig,MG-CA,1
fitch_ig,TFII-CA,1
fitch_ig,CP-CA,1
fitch_ig,SJ-CA,1
fitch_ig,OGC-CA,1
fitch_ig,TIH-CA,1
fitch_ig,ATD.B-CA,1
fitch_ig,CAE-CA,1
fitch_ig,DOL-CA,1
fitch_ig,CCL.B-CA,1
fitch_ig,ENGH-CA,1
fitch_ig,WCN-CA,1
fitch_ig,MTY-CA,1
fitch_ig,MRE-CA,1
fitch_ig,CIGI-CA,1
fitch_ig,GIL-CA,1
fitch_ig,WFT-CA,1
fitch_ig,BAD-CA,1
fitch_ig,QBR.B-CA,1
Dividend_Size_L1 not empty,NXE-CA,0
Dividend_Size_L1 not empty,GEI-CA,1
Dividend_Size_L1 not empty,D.UT-CA,1
Dividend_Size_L1 not empty,WSP-CA,1
Dividend_Size_L1 not empty,CHP.UT-CA,1
Dividend_Size_L1 not empty,EDV-CA,0
Dividend_Size_L1 not empty,LUN-CA,1
Dividend_Size_L1 not empty,KEL-CA,0
Dividend_Size_L1 not empty,IFP-CA,0
Dividend_Size_L1 not empty,RNW-CA,1
Dividend_Size_L1 not empty,APHA-CA,0
Dividend_Size_L1 not empty,SW-CA,0
Dividend_Size_L1 not empty,TRST-CA,0
Dividend_Size_L1 not empty,BBU.UT-CA,1
Dividend_Size_L1 not empty,EFN-CA,1
Dividend_Size_L1 not empty,AIF-CA,1
Dividend_Size_L1 not empty,CG-CA,0
Dividend_Size_L1 not empty,CCO-CA,1
Dividend_Size_L1 not empty,CSH.UT-CA,1
Dividend_Size_L1 not empty,LNR-CA,1
Dividend_Size_L1 not empty,HR.UT-CA,1
Dividend_Size_L1 not empty,IGM-CA,1
Dividend_Size_L1 not empty,ATZ-CA,0
Dividend_Size_L1 not empty,SSL-CA,0
Dividend_Size_L1 not empty,CHR-CA,1
Dividend_Size_L1 not empty,CVE-CA,1
Dividend_Size_L1 not empty,AFN-CA,1
Dividend_Size_L1 not empty,PVG-CA,0
Dividend_Size_L1 not empty,BIR-CA,1
Dividend_Size_L1 not empty,CPG-CA,1
Dividend_Size_L1 not empty,SSRM-CA,0
Dividend_Size_L1 not empty,K-CA,0
Dividend_Size_L1 not empty,NTR-CA,0
Dividend_Size_L1 not empty,CFP-CA,0
Dividend_Size_L1 not empty,NG-CA,0
Dividend_Size_L1 not empty,MSI-CA,1
Dividend_Size_L1 not empty,DSG-CA,0
Dividend_Size_L1 not empty,BTO-CA,0
Dividend_Size_L1 not empty,CUF.UT-CA,1
Dividend_Size_L1 not empty,AGI-CA,1
Dividend_Size_L1 not empty,WJA-CA,1
Dividend_Size_L1 not empty,MAG-CA,0
Dividend_Size_L1 not empty,CRR.UT-CA,1
Dividend_Size_L1 not empty,KXS-CA,0
Dividend_Size_L1 not empty,ERF-CA,1
Dividend_Size_L1 not empty,ASR-CA,0
Dividend_Size_L1 not empty,CIX-CA,1
Dividend_Size_L1 not empty,ARX-CA,1
Dividend_Size_L1 not empty,NVU.UT-CA,1
Dividend_Size_L1 not empty,HEXO-CA,0
Dividend_Size_L1 not empty,TECK.B-CA,1
Dividend_Size_L1 not empty,SMF-CA,0
Dividend_Size_L1 not empty,GOOS-CA,0
Dividend_Size_L1 not empty,HSE-CA,1
